Table 78,,,,,
Full-time Law Enforcement Employees,,,,,
"by State by City, 2009",,,,,
State,City,Population,Total law enforcement employees,Total officers,Total civilians
,Pittsburg,"64,989",98,75,23
,Placentia,"50,041",65,49,16
,Placerville,"10,025",26,17,9
,Pleasant Hill,"32,841",61,43,18
,Pleasanton,"67,116",117,83,34
,Pomona,"153,217",289,178,111
,Porterville,"52,555",84,58,26
,Port Hueneme,"21,440",32,24,8
,Red Bluff,"14,111",34,22,12
,Redding,"91,242",150,112,38
,Redlands,"70,360",140,82,58
,Redondo Beach,"67,268",152,87,65
,Redwood City,"73,905",134,94,40
,Reedley,"23,744",45,32,13
,Rialto,"99,386",152,111,41
,Richmond,"102,566",275,179,96
,Ridgecrest,"25,719",50,33,17
,Rio Dell,"3,184",7,6,1
,Rio Vista,"8,256",10,9,1
,Ripon,"15,039",40,27,13
,Riverside,"299,871",537,370,167
,Rocklin,"54,919",80,52,28
,Rohnert Park,"40,401",88,70,18
,Roseville,"116,846",201,122,79
,Ross,"2,272",8,8,0
,Sacramento,"470,308","1,027",700,327
,Salinas,"143,660",222,164,58
,San Anselmo,"11,943",26,19,7
,San Bernardino,"199,683",468,324,144
,San Bruno,"40,333",59,45,14
,San Carlos,"27,187",39,31,8
,Sand City,375,11,10,1
,San Diego,"1,314,773","2,647","1,894",753
,San Fernando,"23,856",54,36,18
,San Francisco,"809,755","2,853","2,367",486
,San Gabriel,"40,507",70,56,14
,Sanger,"26,285",38,30,8
,San Jose,"954,009","1,749","1,371",378
,San Leandro,"77,676",136,92,44
,San Luis Obispo,"43,565",86,59,27
,San Marino,"12,792",33,26,7
,San Mateo,"92,208",150,114,36
,San Pablo,"30,783",74,54,20
,San Rafael,"55,544",96,69,27
,San Ramon,"49,660",75,56,19
,Santa Ana,"339,196",646,353,293
,Santa Barbara,"85,715",193,131,62
,Santa Clara,"111,106",218,145,73
,Santa Cruz,"56,155",113,91,22
,Santa Maria,"87,381",158,111,47
,Santa Monica,"88,038",397,203,194
,Santa Paula,"28,603",41,32,9
,Santa Rosa,"156,541",242,169,73
,Sausalito,"7,139",23,18,5
,Scotts Valley,"11,098",27,19,8
,Seal Beach,"24,121",55,31,24
,Seaside,"33,875",63,47,16
,Sebastopol,"7,487",20,14,6
,Selma,"23,181",46,36,10
,Shafter,"16,174",26,18,8
,Sierra Madre,"10,860",22,17,5
,Signal Hill,"11,062",47,34,13
,Simi Valley,"121,538",176,119,57
,Soledad,"28,748",29,24,5
,Sonora,"4,573",17,13,4
,South Gate,"96,651",125,84,41
,South Lake Tahoe,"23,300",62,40,22
,South Pasadena,"24,462",50,35,15
,South San Francisco,"62,716",107,78,29
,Stallion Springs,"1,661",3,3,0
,St. Helena,"5,803",16,12,4
,Stockton,"292,212",599,384,215
,Suisun City,"27,056",38,26,12
,Sunnyvale,"132,144",284,215,69
,Susanville,"17,308",15,13,2
,Sutter Creek,"2,770",8,7,1
,Taft,"9,184",24,14,10
,Tehachapi,"11,807",15,13,2
,Tiburon,"8,675",17,13,4
,Torrance,"141,109",331,226,105
,Tracy,"82,019",136,91,45
,Trinidad,309,2,2,0
,Truckee,"16,447",29,25,4
,Tulare,"58,006",101,72,29
,Tulelake,952,4,4,0
,Turlock,"69,859",123,79,44
,Tustin,"72,286",142,91,51
,Twin Cities,"20,918",40,31,9
,Ukiah,"14,896",41,27,14
,Union City,"72,666",96,70,26
,Upland,"72,461",111,76,35
,Vacaville,"92,538",167,106,61
,Vallejo,"114,443",145,111,34
,Ventura,"103,997",172,131,41
,Vernon,90,72,53,19
,Visalia,"124,263",189,132,57
,Walnut Creek,"63,356",115,78,37
,Watsonville,"50,898",87,64,23
,Weed,"3,031",16,10,6
,West Covina,"105,846",178,113,65
,Westminster,"89,057",140,96,44
,Westmorland,"2,207",5,5,0
,West Sacramento,"49,646",109,75,34
,Wheatland,"3,771",8,8,0
,Whittier,"82,096",179,125,54
,Williams,"4,900",12,10,2
,Willits,"4,960",19,13,6
,Willows,"6,272",13,11,2
,Winters,"7,074",12,10,2
,Woodlake,"7,506",15,13,2
,Woodland,"55,138",87,65,22
,Yreka,"7,379",21,15,6
,Yuba City,"62,495",92,65,27
COLORADO,Alamosa,"8,781",28,24,4
,Arvada,"107,943",236,159,77
,Aspen,"5,897",35,25,10
,Ault,"1,444",6,6,0
,Aurora,"324,014",752,627,125
,Avon,"6,691",20,18,2
,Basalt,"3,304",12,9,3
,Bayfield,"2,079",5,5,0
,Berthoud,"5,477",10,9,1
,Black Hawk,104,32,22,10
,Boulder,"100,035",255,166,89
,Bow Mar,808,9,7,2
,Breckenridge,"3,493",28,22,6
,Brighton,"32,770",70,53,17
,Broomfield,"56,991",189,106,83
,Brush,"5,356",11,10,1
,Buena Vista,"2,127",9,7,2
,Burlington,"3,900",9,8,1
,Calhan,865,3,3,0
,Campo,125,2,2,0
,Canon City,"15,925",48,35,13
,Carbondale,"6,387",16,13,3
,Castle Rock,"48,287",68,50,18
,Cedaredge,"2,300",6,4,2
,Centennial,"99,385",148,114,34
,Center,"2,389",6,5,1
,Central City,572,4,4,0
,Cherry Hills Village,"6,397",27,22,5
,Collbran,430,2,2,0
,Colorado Springs,"401,626",945,660,285
,Columbine Valley,"1,341",6,6,0
,Commerce City,"45,914",114,89,25
,Cortez,"8,680",52,28,24
,Craig,"9,250",31,24,7
,Crested Butte,"1,665",9,7,2
,Cripple Creek,"1,001",23,12,11
,Dacono,"4,179",11,9,2
,De Beque,528,3,3,0
,Del Norte,"1,576",6,5,1
,Delta,"9,162",19,15,4
,Denver,"604,680","1,757","1,510",247
,Dillon,809,11,9,2
,Durango,"16,644",64,54,10
,Eagle,"6,349",11,9,2
,Eaton,"4,415",9,8,1
,Edgewater,"5,101",18,15,3
,Elizabeth,"1,434",6,5,1
,Empire,321,1,1,0
,Englewood,"32,750",99,71,28
,Erie,"18,195",22,20,2
,Estes Park,"6,539",28,17,11
,Evans,"20,145",33,31,2
,Federal Heights,"11,695",34,24,10
,Firestone,"9,408",25,21,4
,Florence,"3,618",18,8,10
,Fort Collins,"138,487",243,169,74
,Fort Lupton,"7,668",23,18,5
,Fort Morgan,"10,485",34,28,6
,Fountain,"20,205",51,39,12
,Fraser/Winter Park,"1,809",10,9,1
,Frederick,"9,190",19,16,3
,Frisco,"2,727",15,13,2
,Fruita,"7,501",18,16,2
,Georgetown,"1,020",3,3,0
,Glendale,"4,830",38,24,14
,Glenwood Springs,"9,198",31,25,6
,Golden,"17,334",59,41,18
,Granby,"1,658",7,6,1
,Grand Junction,"50,195",200,109,91
,Greeley,"93,070",261,145,116
,Green Mountain Falls,806,2,2,0
,Greenwood Village,"14,552",88,63,25
,Gunnison,"5,468",27,14,13
,Hayden,"1,573",5,4,1
,Holyoke,"2,220",4,4,0
,Hotchkiss,"1,093",3,3,0
,Hugo,728,2,2,0
,Idaho Springs,"1,715",9,7,2
,Ignacio,761,7,7,0
,Johnstown,"10,116",15,13,2
,Kersey,"1,467",3,3,0
,Kiowa,596,2,2,0
,Kremmling,"1,523",4,4,0
,Lafayette,"25,267",46,38,8
,La Junta,"6,992",21,16,5
,Lakeside,19,9,9,0
,Lakewood,"140,618",419,275,144
,Lamar,"7,860",27,22,5
,La Salle,"2,001",6,6,0
,Las Animas,"2,305",5,4,1
,La Veta,878,3,3,0
,Leadville,"2,736",11,9,2
,Limon,"1,719",6,5,1
,Littleton,"40,815",94,68,26
,Lochbuie,"5,251",8,7,1
,Lone Tree,"9,668",48,43,5
,Longmont,"87,611",202,138,64
,Louisville,"19,147",37,32,5
,Loveland,"67,324",132,91,41
,Mancos,"1,278",3,3,0
,Manitou Springs,"5,182",27,20,7
,Manzanola,467,2,2,0
,Meeker,"2,405",8,6,2
,Milliken,"6,670",10,9,1
,Minturn,"1,198",4,3,1
,Monte Vista,"3,950",16,11,5
,Montrose,"18,651",58,39,19
,Monument,"2,673",16,13,3
,Morrison,413,3,2,1
,Mountain View,515,3,2,1
,Mount Crested Butte,864,8,7,1
,Nederland,"1,366",5,4,1
,New Castle,"4,065",9,8,1
,Northglenn,"33,849",79,65,14
,Olathe,"1,758",5,4,1
,Ouray,946,5,5,0
,Pagosa Springs,"1,762",9,8,1
,Palisade,"2,870",8,7,1
,Paonia,"1,645",6,5,1
,Parachute,"1,326",7,6,1
,Parker,"46,676",83,58,25
,Platteville,"2,664",8,8,0
,Pueblo,"105,271",253,200,53
,Rangely,"2,143",10,5,5
,Ridgway,813,3,3,0
,Rifle,"9,504",24,20,4
,Rocky Ford,"3,916",10,9,1
,Salida,"5,375",18,15,3
,Sheridan,"5,398",34,24,10
,Silt,"2,791",7,6,1
,Silverthorne,"4,074",18,15,3
,Simla,687,2,2,0
,Snowmass Village,"1,923",13,10,3
,South Fork,526,1,1,0
,Springfield,"1,265",4,4,0
,Steamboat Springs,"9,560",38,24,14
,Sterling,"12,800",25,22,3
,Stratton,600,1,1,0
,Telluride,"2,377",12,7,5
,Thornton,"117,415",216,157,59
,Trinidad,"9,125",34,22,12
,Vail,"4,783",58,27,31
,Walsenburg,"3,796",15,13,2
,Walsh,629,2,2,0
,Westminster,"107,705",252,173,79
,Wheat Ridge,"30,683",98,71,27
,Wiggins,956,2,2,0
,Windsor,"19,217",23,20,3
,Woodland Park,"6,490",29,19,10
,Wray,"2,100",7,6,1
,Yuma,"3,261",9,8,1
CONNECTICUT,Ansonia,"18,496",51,44,7
,Avon,"17,495",38,30,8
,Berlin,"20,610",52,41,11
,Bethel,"18,476",46,34,12
,Bloomfield,"20,856",61,48,13
,Branford,"28,999",63,51,12
,Bridgeport,"136,049",483,409,74
,Bristol,"60,998",148,122,26
,Brookfield,"16,766",40,30,10
,Canton,"10,253",15,10,5
,Cheshire,"29,120",59,47,12
,Clinton,"13,602",30,24,6
,Coventry,"12,286",19,14,5
,Cromwell,"13,676",34,26,8
,Danbury,"79,729",152,147,5
,Darien,"20,237",58,51,7
,Derby,"12,392",33,31,2
,East Hampton,"12,887",18,16,2
,East Hartford,"48,459",161,127,34
,East Haven,"28,633",54,51,3
,Easton,"7,344",18,15,3
,East Windsor,"10,936",31,24,7
,Enfield,"44,857",114,93,21
,Fairfield,"57,341",111,105,6
,Farmington,"25,278",60,44,16
,Glastonbury,"33,411",72,56,16
,Granby,"11,315",20,14,6
,Greenwich,"62,018",178,150,28
,Groton,"9,319",39,31,8
,Groton Long Point,682,9,8,1
,Groton Town,"29,105",73,69,4
,Guilford,"22,506",45,37,8
,Hamden,"57,975",133,106,27
,Hartford,"124,049",497,448,49
,Madison,"18,900",23,20,3
,Manchester,"56,566",148,115,33
,Meriden,"59,289",129,118,11
,Middlebury,"7,447",17,11,6
,Middletown,"48,299",114,97,17
,Milford,"56,310",121,104,17
,Monroe,"19,366",49,38,11
,Naugatuck,"32,033",70,58,12
,New Britain,"70,368",164,152,12
,New Canaan,"19,965",47,42,5
,New Haven,"123,659",518,423,95
,Newington,"29,739",65,52,13
,New London,"25,859",104,87,17
,New Milford,"28,471",65,49,16
,Newtown,"26,924",53,47,6
,North Branford,"14,426",31,25,6
,North Haven,"24,060",57,48,9
,Norwalk,"83,198",191,175,16
,Norwich,"36,418",96,80,16
,Old Saybrook,"10,537",26,19,7
,Orange,"13,843",52,42,10
,Plainfield,"15,519",20,16,4
,Plainville,"17,221",42,35,7
,Plymouth,"12,003",24,24,0
,Portland,"9,642",12,11,1
,Putnam,"9,342",18,15,3
,Redding,"8,855",21,15,6
,Ridgefield,"24,046",45,40,5
,Rocky Hill,"18,948",43,34,9
,Seymour,"16,340",42,40,2
,Shelton,"40,195",63,56,7
,Simsbury,"23,654",44,35,9
,Southington,"42,523",85,66,19
,South Windsor,"26,139",55,41,14
,Stamford,"119,507",347,284,63
,Stonington,"18,420",47,35,12
,Stratford,"48,726",111,104,7
,Suffield,"15,317",24,19,5
,Thomaston,"7,792",15,12,3
,Torrington,"35,321",97,83,14
,Trumbull,"34,731",81,72,9
,Vernon,"30,038",65,52,13
,Wallingford,"45,059",94,68,26
,Waterbury,"107,007",356,291,65
,Waterford,"18,808",53,46,7
,Watertown,"22,139",45,36,9
,West Hartford,"60,430",145,126,19
,West Haven,"52,425",135,122,13
,Weston,"10,196",15,14,1
,Westport,"26,681",84,63,21
,Wethersfield,"25,656",58,47,11
,Willimantic,"16,346",46,41,5
,Wilton,"17,701",46,42,4
,Winchester,"10,721",26,22,4
,Windsor,"28,915",60,48,12
,Windsor Locks,"12,543",31,25,6
,Wolcott,"16,571",31,23,8
,Woodbridge,"9,215",34,26,8
DELAWARE,Bethany Beach,971,10,9,1
,Blades,"1,166",1,1,0
,Bridgeville,"1,645",7,7,0
,Camden,"2,621",13,12,1
,Cheswold,479,3,3,0
,Clayton,"1,501",8,7,1
,Dagsboro,585,2,2,0
,Delaware City,"1,523",3,3,0
,Delmar,"1,528",13,12,1
,Dewey Beach,320,8,8,0
,Dover,"36,571",120,91,29
,Elsmere,"5,676",11,10,1
,Felton,916,4,4,0
,Fenwick Island,369,6,5,1
,Frankford,784,1,1,0
,Georgetown,"5,277",20,18,2
,Greenwood,914,1,1,0
,Harrington,"3,466",10,9,1
,Laurel,"4,009",17,16,1
,Lewes,"3,150",14,13,1
,Middletown,"13,093",30,27,3
,Milford,"8,704",40,30,10
,Millsboro,"2,724",15,14,1
,Milton,"1,848",11,9,2
,Newark,"29,983",77,61,16
,New Castle,"4,976",18,16,2
,Newport,"1,104",7,7,0
,Ocean View,"1,149",8,7,1
,Rehoboth Beach,"1,597",29,18,11
,Seaford,"7,310",38,27,11
,Selbyville,"1,871",9,8,1
,Smyrna,"8,981",29,22,7
,South Bethany,530,6,6,0
,Wilmington,"72,580",405,318,87
,Wyoming,"1,443",4,4,0
DISTRICT OF COLUMBIA,Washington,"599,657","4,613","4,052",561
FLORIDA,Alachua,"9,669",27,21,6
,Altamonte Springs,"39,797",123,104,19
,Altha,521,1,1,0
,Apalachicola,"2,197",8,7,1
,Apopka,"39,308",111,82,29
,Arcadia,"6,788",26,21,5
,Astatula,"1,887",5,5,0
,Atlantic Beach,"13,124",40,29,11
,Atlantis,"2,074",18,13,5
,Auburndale,"14,619",44,35,9
,Aventura,"29,743",117,81,36
,Avon Park,"9,090",23,20,3
,Bal Harbour Village,"3,099",36,28,8
,Bartow,"17,069",63,40,23
,Bay Harbor Islands,"4,912",29,23,6
,Belleair,"4,073",14,13,1
,Belle Isle,"6,553",12,11,1
,Belleview,"4,538",17,15,2
,Biscayne Park,"2,930",11,10,1
,Blountstown,"2,517",9,7,2
,Boca Raton,"85,956",282,192,90
,Bonifay,"2,772",6,5,1
,Bowling Green,"2,958",7,7,0
,Boynton Beach,"69,211",243,164,79
,Bradenton,"53,951",151,120,31
,Bradenton Beach,"1,560",10,10,0
,Brooksville,"8,375",27,24,3
,Bunnell,"3,281",15,13,2
,Bushnell,"2,301",10,9,1
,Cape Coral,"164,344",333,236,97
,Carrabelle,"1,222",6,6,0
,Casselberry,"24,782",69,52,17
,Cedar Key,999,4,4,0
,Center Hill,"1,124",3,3,0
,Chattahoochee,"3,746",10,9,1
,Chiefland,"2,149",14,12,2
,Chipley,"3,800",11,10,1
,Clearwater,"105,383",353,248,105
,Clermont,"13,484",64,49,15
,Clewiston,"7,248",29,19,10
,Cocoa,"16,418",93,68,25
,Cocoa Beach,"11,860",52,34,18
,Coconut Creek,"50,385",128,89,39
,Coleman,775,2,2,0
,Coral Gables,"42,784",251,177,74
,Coral Springs,"125,656",290,190,100
,Cottondale,879,3,3,0
,Crescent City,"1,817",8,7,1
,Crestview,"20,023",65,50,15
,Cross City,"1,824",5,5,0
,Dade City,"7,321",34,24,10
,Davenport,"2,646",10,9,1
,Davie,"90,147",232,164,68
,Daytona Beach,"64,257",289,237,52
,Daytona Beach Shores,"5,225",35,29,6
,De Funiak Springs,"5,008",23,18,5
,Deland,"28,009",82,63,19
,Delray Beach,"64,522",216,146,70
,Doral,"32,209",121,89,32
,Dunnellon,"2,021",8,6,2
,Eatonville,"2,354",17,15,2
,Edgewater,"21,714",30,28,2
,Edgewood,"2,101",11,10,1
,El Portal,"2,297",7,7,0
,Eustis,"19,500",55,42,13
,Fellsmere,"5,054",9,8,1
,Fernandina Beach,"11,714",46,35,11
,Flagler Beach,"5,963",17,14,3
,Florida City,"10,204",41,31,10
,Fort Lauderdale,"182,942",671,489,182
,Fort Myers,"67,031",241,173,68
,Fort Pierce,"41,114",143,111,32
,Fort Walton Beach,"18,759",61,48,13
,Fruitland Park,"4,413",14,13,1
,Gainesville,"115,265",358,292,66
,Golden Beach,870,22,20,2
,Graceville,"2,428",10,8,2
,Greenacres City,"32,649",73,52,21
,Green Cove Springs,"6,693",24,19,5
,Greensboro,598,1,1,0
,Gretna,"1,603",5,5,0
,Groveland,"8,445",29,22,7
,Gulf Breeze,"6,689",25,17,8
,Gulfport,"12,286",37,28,9
,Gulf Stream,737,11,11,0
,Haines City,"19,610",65,42,23
,Hallandale,"38,644",131,95,36
,Hampton,460,2,2,0
,Havana,"1,689",13,9,4
,Hialeah,"208,874",429,343,86
,Hialeah Gardens,"19,667",51,37,14
,Highland Beach,"3,988",14,13,1
,High Springs,"4,696",17,13,4
,Hillsboro Beach,"2,252",18,15,3
,Holly Hill,"13,321",31,27,4
,Hollywood,"141,597",481,316,165
,Holmes Beach,"5,023",21,14,7
,Homestead,"62,037",153,105,48
,Howey-in-the-Hills,"1,282",7,6,1
,Indialantic,"2,930",17,11,6
,Indian Creek Village,37,14,10,4
,Indian Harbour Beach,"8,328",26,19,7
,Indian River Shores,"3,387",22,19,3
,Indian Shores,"4,235",13,11,2
,Inglis,"1,652",6,5,1
,Interlachen,"1,508",4,4,0
,Jacksonville,"810,064","3,241","1,746","1,495"
,Jacksonville Beach,"21,750",81,61,20
,Jasper,"2,047",9,8,1
,Jennings,844,2,2,0
,Juno Beach,"3,338",22,16,6
,Jupiter,"51,514",136,106,30
,Jupiter Inlet Colony,387,5,5,0
,Jupiter Island,672,21,16,5
,Kenneth City,"4,285",15,14,1
,Key Biscayne,"9,655",39,30,9
,Key Colony Beach,757,5,5,0
,Key West,"22,049",109,84,25
,Kissimmee,"63,986",197,127,70
,Lady Lake,"15,282",42,29,13
,Lake Alfred,"4,560",12,7,5
,Lake City,"12,709",47,35,12
,Lake Clarke Shores,"3,313",11,11,0
,Lake Hamilton,"1,450",7,6,1
,Lake Helen,"2,784",8,7,1
,Lakeland,"94,322",335,221,114
,Lake Mary,"15,604",51,34,17
,Lake Placid,"1,897",9,7,2
,Lake Wales,"14,875",52,46,6
,Lantana,"10,150",37,30,7
,Largo,"72,567",183,137,46
,Lauderhill,"67,005",143,115,28
,Lawtey,705,1,1,0
,Leesburg,"22,836",93,70,23
,Lighthouse Point,"11,107",42,33,9
,Live Oak,"7,298",21,17,4
,Longboat Key,"7,277",22,15,7
,Longwood,"13,453",47,40,7
,Lynn Haven,"15,606",34,25,9
,Madison,"3,036",15,14,1
,Maitland,"14,984",45,39,6
,Manalapan,341,15,10,5
,Marco Island,"15,713",34,32,2
,Margate,"54,032",168,109,59
,Marianna,"6,290",25,18,7
,Mascotte,"6,032",11,10,1
,Medley,"1,017",46,36,10
,Melbourne,"77,854",233,166,67
,Melbourne Beach,"3,130",9,8,1
,Melbourne Village,667,5,5,0
,Mexico Beach,"1,298",8,7,1
,Miami,"419,205","1,508","1,124",384
,Miami Beach,"84,260",512,365,147
,Miami Gardens,"110,346",258,197,61
,Miami Shores,"9,464",40,32,8
,Miami Springs,"12,412",54,41,13
,Milton,"8,789",26,18,8
,Miramar,"108,375",253,189,64
,Monticello,"2,541",13,9,4
,Mount Dora,"13,226",48,33,15
,Mulberry,"3,180",13,9,4
,Naples,"21,587",107,70,37
,Neptune Beach,"6,731",25,19,6
,New Port Richey,"17,766",51,37,14
,New Smyrna Beach,"23,656",61,50,11
,Niceville,"12,368",24,19,5
,North Bay Village,"8,024",33,25,8
,North Miami,"55,495",160,122,38
,North Miami Beach,"41,324",160,112,48
,North Palm Beach,"12,155",43,31,12
,North Port,"60,512",124,97,27
,Oak Hill,"1,611",7,7,0
,Oakland,"1,167",8,7,1
,Ocala,"55,847",232,155,77
,Ocean Ridge,"1,639",19,14,5
,Ocoee,"33,251",87,75,12
,Okeechobee,"6,060",26,20,6
,Opa Locka,"16,775",65,45,20
,Orange City,"10,033",26,23,3
,Orange Park,"9,038",29,22,7
,Orlando,"235,109",960,725,235
,Ormond Beach,"38,153",88,67,21
,Oviedo,"33,382",78,61,17
,Palatka,"10,902",44,38,6
,Palm Bay,"103,475",246,160,86
,Palm Beach,"9,519",121,76,45
,Palm Beach Gardens,"50,937",146,114,32
,Palm Beach Shores,"1,569",16,10,6
,Palmetto,"14,453",51,36,15
,Palm Springs,"16,514",52,40,12
,Panama City,"36,619",123,86,37
,Panama City Beach,"15,758",66,51,15
,Parker,"4,532",10,9,1
,Pembroke Pines,"145,514",292,229,63
,Pensacola,"53,570",200,148,52
,Perry,"6,780",25,23,2
,Pinellas Park,"47,173",120,99,21
,Plantation,"83,544",274,175,99
,Plant City,"33,048",83,65,18
,Ponce Inlet,"3,217",17,11,6
,Port Orange,"55,604",99,83,16
,Port Richey,"3,458",18,12,6
,Port St. Joe,"3,537",10,9,1
,Port St. Lucie,"164,069",308,239,69
,Punta Gorda,"16,567",51,35,16
,Quincy,"6,842",32,25,7
,Riviera Beach,"37,247",159,115,44
,Rockledge,"25,289",67,49,18
,Sanford,"52,118",146,126,20
,Sanibel,"5,601",30,24,6
,Sarasota,"52,308",233,176,57
,Satellite Beach,"11,774",31,22,9
,Sea Ranch Lakes,734,10,6,4
,Sebastian,"20,777",55,37,18
,Sebring,"10,796",39,33,6
,Sewall's Point,"2,010",9,9,0
,Shalimar,699,4,4,0
,Sneads,"1,942",9,5,4
,South Daytona,"13,662",34,26,8
,South Miami,"10,708",57,49,8
,South Palm Beach,"1,461",9,9,0
,Springfield,"8,792",21,15,6
,Starke,"6,011",21,19,2
,St. Augustine,"12,476",64,51,13
,St. Augustine Beach,"6,400",17,15,2
,St. Cloud,"29,604",104,70,34
,St. Pete Beach,"9,925",34,24,10
,St. Petersburg,"244,933",775,540,235
,Stuart,"16,000",63,45,18
,Sunny Isles Beach,"16,438",58,46,12
,Sunrise,"88,936",259,173,86
,Surfside,"4,480",37,28,9
,Sweetwater,"12,952",25,20,5
,Tallahassee,"174,183",477,347,130
,Tampa,"345,233","1,242",964,278
,Tarpon Springs,"23,628",63,48,15
,Tavares,"14,227",39,29,10
,Temple Terrace,"22,713",73,49,24
,Tequesta,"5,757",23,18,5
,Titusville,"45,197",137,88,49
,Treasure Island,"7,454",26,19,7
,Trenton,"1,889",4,3,1
,Umatilla,"3,107",9,8,1
,Valparaiso,"5,991",13,9,4
,Venice,"21,236",70,52,18
,Vero Beach,"16,908",80,55,25
,Village of Pinecrest,"18,565",65,49,16
,Virginia Gardens,"2,150",7,6,1
,Waldo,812,8,8,0
,Wauchula,"4,522",19,15,4
,Webster,924,3,3,0
,Welaka,818,1,1,0
,West Melbourne,"16,034",45,35,10
,West Miami,"5,497",21,17,4
,West Palm Beach,"100,763",397,294,103
,White Springs,830,3,3,0
,Wildwood,"3,809",25,18,7
,Williston,"2,979",20,12,8
,Wilton Manors,"12,603",39,30,9
,Windermere,"2,582",13,12,1
,Winter Garden,"31,554",82,66,16
,Winter Haven,"34,103",93,74,19
,Winter Park,"27,917",111,85,26
,Winter Springs,"32,846",84,67,17
,Zephyrhills,"13,377",48,33,15
,Zolfo Springs,"1,708",1,1,0
GEORGIA,Abbeville,"2,802",4,3,1
,Acworth,"20,193",52,39,13
,Adairsville,"3,280",16,14,2
,Adel,"5,405",21,19,2
,Alamo,"2,722",4,3,1
,Alapaha,693,1,1,0
,Albany,"75,734",197,166,31
,Alpharetta,"50,279",139,106,33
,Alto,915,3,2,1
,Americus,"16,467",47,39,8
,Aragon,"1,083",5,4,1
,Arcade,"1,981",3,3,0
,Ashburn,"4,215",16,15,1
,Athens-Clarke County,"114,540",289,230,59
,Atlanta,"552,901","1,881","1,506",375
,Auburn,"7,563",24,17,7
,Avondale Estates,"2,854",12,12,0
,Bainbridge,"12,380",51,41,10
,Ball Ground,972,3,3,0
,Barnesville,"6,001",19,17,2
,Baxley,"4,575",12,11,1
,Berlin,618,3,3,0
,Blackshear,"3,528",15,12,3
,Blythe,827,1,1,0
,Braselton,"5,647",13,12,1
,Bremen,"5,842",24,22,2
,Brooklet,"1,363",4,4,0
,Brunswick,"16,348",82,73,9
,Buchanan,"1,054",9,8,1
,Buena Vista,"1,639",6,6,0
,Butler,"1,808",6,5,1
,Byron,"4,515",22,19,3
,Cairo,"9,871",24,21,3
,Calhoun,"15,295",49,42,7
,Camilla,"5,658",21,18,3
,Canton,"25,370",48,43,5
,Carrollton,"23,679",74,61,13
,Cartersville,"19,325",63,53,10
,Centerville,"7,502",19,16,3
,Chamblee,"11,410",43,30,13
,Chatsworth,"4,193",17,14,3
,Chickamauga,"2,608",5,5,0
,Clarkesville,"1,749",8,6,2
,Clarkston,"7,871",21,18,3
,Claxton,"2,422",9,8,1
,Clayton,"2,203",11,10,1
,Cleveland,"2,732",13,12,1
,Cochran,"5,302",15,14,1
,College Park,"19,936",128,102,26
,Colquitt,"1,911",9,9,0
,Columbus,"186,224",562,462,100
,Commerce,"6,508",28,22,6
,Conyers,"13,798",69,51,18
,Coolidge,559,4,4,0
,Cordele,"11,507",36,30,6
,Covington,"15,385",62,53,9
,Cumming,"5,909",20,14,6
,Cuthbert,"3,387",5,5,0
,Dallas,"11,387",22,17,5
,Dalton,"34,299",101,86,15
,Danielsville,452,2,2,0
,Dawson,"4,549",24,18,6
,Decatur,"19,071",56,43,13
,Dillard,236,4,3,1
,Doerun,844,4,3,1
,Donalsonville,"2,684",12,9,3
,Doraville,"10,308",71,45,26
,Douglas,"11,477",44,36,8
,Douglasville,"32,586",108,89,19
,Dublin,"17,666",60,52,8
,Duluth,"26,495",70,54,16
,Dunwoody,"33,294",47,40,7
,East Dublin,"2,798",8,8,0
,Eastman,"5,697",12,11,1
,East Point,"43,753",155,110,45
,Eatonton,"6,331",22,15,7
,Elberton,"4,524",21,18,3
,Ellaville,"1,861",4,4,0
,Emerson,"1,473",6,6,0
,Eton,481,3,3,0
,Fairburn,"11,750",36,31,5
,Fairmount,813,3,3,0
,Fayetteville,"15,625",46,42,4
,Folkston,"3,230",7,6,1
,Forest Park,"21,760",89,69,20
,Forsyth,"5,148",22,16,6
,Fort Gaines,991,7,7,0
,Fort Oglethorpe,"10,000",31,30,1
,Fort Valley,"8,178",30,28,2
,Franklin,883,9,7,2
,Franklin Springs,803,7,6,1
,Gainesville,"36,896",114,98,16
,Garden City,"9,329",52,43,9
,Glennville,"5,464",17,12,5
,Glenwood,897,1,1,0
,Gordon,"2,103",11,6,5
,Grantville,"2,885",11,10,1
,Gray,"2,240",14,13,1
,Greensboro,"3,281",21,18,3
,Greenville,921,5,4,1
,Griffin,"23,795",106,94,12
,Grovetown,"9,654",39,22,17
,Guyton,"2,006",4,3,1
,Hahira,"2,579",6,5,1
,Hampton,"5,464",20,18,2
,Hapeville,"5,964",37,24,13
,Harrison,478,3,3,0
,Hartwell,"4,306",28,23,5
,Hawkinsville,"4,254",10,9,1
,Helen,903,11,9,2
,Helena,"2,466",3,3,0
,Hephzibah,"4,610",5,5,0
,Hiawassee,862,4,4,0
,Hinesville,"30,130",97,84,13
,Hiram,"2,129",21,15,6
,Hoboken,528,3,2,1
,Hogansville,"2,929",19,12,7
,Holly Springs,"9,753",19,19,0
,Homeland,795,2,2,0
,Ideal,476,1,1,0
,Jefferson,"8,531",26,22,4
,Jesup,"10,600",29,25,4
,Johns Creek,"59,305",68,59,9
,Jonesboro,"4,167",24,20,4
